羽,yǔ,yu,3,羽,lv1
观,guān,guan,1,见,lv1
观,guàn,guan,4,见,lv1
欢,huān,huan,1,欠,lv1
买,mǎi,mai,3,乙,lv1
红,hóng,hong,2,纟,lv1
红,gōng,gong,1,纟,lv1
驮,tuó,tuo,2,马,lv1
纤,xiān,xian,1,纟,lv1
纤,qiàn,qian,4,纟,lv1
驯,xùn,xun,4,马,lv1
约,yuē,yue,1,纟,lv1
约,yāo,yao,1,纟,lv1
级,jí,ji,2,纟,lv1
纪,jì,ji,4,纟,lv1
纪,jǐ,ji,3,纟,lv1
驰,chí,chi,2,马,lv1
纫,rèn,ren,4,纟,lv1
巡,xún,xun,2,巛,lv1
寿,shòu,shou,4,寸,lv1
弄,nòng,nong,4,廾,lv1
弄,lòng,long,4,廾,lv1
麦,mài,mai,4,麦,lv1
玖,jiǔ,jiu,3,王,lv1
玛,mǎ,ma,3,王,lv1
形,xíng,xing,2,彡,lv1
进,jìn,jin,4,辶,lv1
戒,jiè,jie,4,戈,lv1
吞,tūn,tun,1,口,lv1
远,yuǎn,yuan,3,辶,lv1
远,yuàn,yuan,4,辶,lv1
违,wéi,wei,2,辶,lv1
韧,rèn,ren,4,韦,lv1
运,yùn,yun,4,辶,lv1
扶,fú,fu,2,扌,lv1
抚,fǔ,fu,3,扌,lv1
坛,tán,tan,2,土,lv1
